# Time-averaged data for fix myat1
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3] c_myRDF[4] c_myRDF[5] c_myRDF[6] c_myRDF[7] c_myRDF[8] c_myRDF[9] c_myRDF[10] c_myRDF[11]
50000 200
54 4.0125 0.0885796 0.000145833 19.0785 2.62264 17.5265 0.606214 1.01557 0.389641 0.265063 0.204854
55 4.0875 0.365824 0.000770833 14.3754 2.93617 11.3759 0.626062 1.21464 0.494724 0.268952 0.228122
56 4.1625 1.4228 0.00329167 8.88834 3.13721 8.08837 0.640698 1.30496 0.611802 0.277483 0.253017
57 4.2375 4.66893 0.0118646 6.75295 3.2955 5.46877 0.650953 1.40296 0.74225 0.287164 0.279717
58 4.3125 5.5158 0.0223542 6.73786 3.45908 3.72484 0.658187 1.51106 0.887766 0.297628 0.308379
59 4.3875 4.32869 0.030875 6.70928 3.62768 3.08043 0.66438 1.51559 1.03884 0.298403 0.338124
60 4.4625 2.89533 0.0367708 6.71246 3.80217 3.08545 0.670797 1.45043 1.1884 0.298195 0.368873
61 4.5375 1.98898 0.0409583 6.46779 3.97601 4.25844 0.679953 1.33468 1.33069 0.301792 0.401047
62 4.6125 1.81949 0.0449167 6.10314 4.14551 6.26602 0.693875 1.2026 1.46318 0.306952 0.434862
63 4.6875 3.24993 0.0522187 6.05213 4.3191 8.87482 0.71424 1.104 1.58879 0.316873 0.470915
64 4.7625 5.37156 0.0646771 6.145 4.50104 10.4182 0.738917 1.0774 1.71532 0.329777 0.509646
65 4.8375 6.92577 0.08125 6.71959 4.70631 10.9608 0.765703 1.0804 1.84624 0.338768 0.550696
66 4.9125 9.06711 0.103625 7.1191 4.93058 11.7095 0.795214 1.15466 1.99053 0.345459 0.593865
67 4.9875 9.67284 0.128229 7.04262 5.15927 12.4386 0.827526 1.20701 2.14599 0.350209 0.638974
68 5.0625 8.72458 0.151094 6.79067 5.38646 12.3355 0.860542 1.27308 2.31494 0.354989 0.686083
69 5.1375 6.6886 0.169146 6.75756 5.61929 11.5472 0.89237 1.26274 2.48752 0.360149 0.735305
70 5.2125 5.80015 0.18526 6.55393 5.85174 10.3307 0.921682 1.33628 2.67552 0.357996 0.785671
